symbol,tf,window,spearman,t,low10_fwd,low10_t,high10_fwd,high10_t
ETHUSDT,4h,9,-0.01208587357317883,-1.7053466632679208,-0.0006682252056568476,-1.0933818245042963,0.001361579510829842,3.2016038509438745
ETHUSDT,4h,10,-0.010257184134520423,-1.447248136481837,-0.0005941180096022184,-0.949882622884653,0.0014702680215445826,3.4101050216544078
ETHUSDT,4h,12,-0.00735608798123818,-1.0378362766491227,-0.0005909652920903842,-0.9310267209562916,0.0013358417044264982,3.073759195328366
ETHUSDT,4h,14,-0.00501387895021594,-0.7073390983478981,-0.0004557000684402194,-0.714548277211458,0.001496372184272892,3.3842693193057873
ETHUSDT,4h,16,-0.003029290552542251,-0.4273359810545448,-0.00033752922763716616,-0.5286571031005111,0.0015703833719890503,3.527989490432088
ETHUSDT,4h,18,-0.0013610422523238983,-0.19198916651578818,-0.0004440069923091442,-0.6945969717346,0.0015401686233446053,3.4516446230945146
ETHUSDT,4h,21,0.0008110653016864302,0.11440050373276167,-0.00048520867928560264,-0.7520546503364476,0.0014026746506889812,3.0724815677439214
ETHUSDT,4h,25,0.0031021756908456706,0.43751887004498263,-0.0004822341229698755,-0.748646319160491,0.0011917450418739628,2.6377775252749522
ETHUSDT,4h,30,0.0058173469172555226,0.8203629345815028,9.402420955671589e-05,0.1485845286001234,0.0012833780993007947,2.7933907606263113
SOLUSDT,1w,2,0.08568017726491566,1.5262849128259466,0.04826306443203947,1.442480993460588,0.08695302868923234,2.573304465504057
SOLUSDT,1w,3,0.09044101288640681,1.6092136884183739,0.050471002947052424,1.5498901454876268,0.11056171248475334,3.3980080950599465
SOLUSDT,1w,4,0.09247340313211473,1.643061774752726,0.04450090594308794,1.3727987805354829,0.1103520156884096,3.561683746776062
SOLUSDT,1w,5,0.09120247761301055,1.617698916789089,0.028296138697192826,0.9055690383747323,0.11030269862227973,3.0056912003825453
SOLUSDT,1w,6,0.09668841465609947,1.7131453665300096,0.03251204451338234,1.0364916761514398,0.10531975522597944,2.892747641395052
SOLUSDT,1w,7,0.09917626726744999,1.7548298950634331,0.04208105187311487,1.3603441966466292,0.12023312855536206,3.0361963087643478
SOLUSDT,1w,8,0.10136476426799008,1.7910550877060532,0.04397626917447742,1.428724928239827,0.11870064327628022,2.978124526751152
SOLUSDT,1w,9,0.09960313104530308,1.756763813398588,0.028308024347626227,0.9235311167481604,0.11870064327628022,2.978124526751152
SOLUSDT,1w,10,0.09326285990864755,1.6412506722629998,0.028504779721741973,0.9004388968540913,0.11301960663636322,2.7738704038383055
SOLUSDT,1w,12,0.0978865931922073,1.7177652941350392,0.024095798545635726,0.7664800562692915,0.09080203174518818,2.2738269181681834
SOLUSDT,1w,14,0.09712353448713393,1.6986498337403215,0.05578627126494776,1.582513487347697,0.09080203174518818,2.2738269181681834
SOLUSDT,1w,16,0.09087065904220258,1.58309675275143,0.05705527188544664,1.6197769362252075,0.08302836173487735,2.0418666909280634
SOLUSDT,1w,18,0.08042859343028756,1.395260513989701,0.056710071203687325,1.6089857708705246,0.07319664221695145,1.8146015032355616
SOLUSDT,1w,21,0.08647381539123587,1.4933456620818317,0.03511214719926413,1.206821553140747,0.06651071619427433,1.722394316596422
SOLUSDT,1w,25,0.07757652028243472,1.3296351470184877,0.03163744138336441,1.1022137621943977,0.06397940345815716,1.6418559822021137
SOLUSDT,1w,30,0.043225251561070675,0.7329672666925123,0.0493510859604272,1.6448787658963782,0.08286688575401711,2.0334824986499678
SOLUSDT,1d,2,-0.002535631892656914,-0.1196865076959958,0.0024678148653441228,0.542822315118854,0.004597336674121211,1.0228904782792605
SOLUSDT,1d,3,0.006677158089100137,0.31510946538194545,0.0031332414323721625,0.6764736452701096,0.007609045157543794,1.6863980135995884
SOLUSDT,1d,4,0.012107008706604527,0.5712566469748962,0.004613363868495064,0.9514771540279451,0.012327864673029428,2.61405384210181
SOLUSDT,1d,5,0.014958378930287298,0.7056642746736732,0.006284610832648743,1.3657018829306102,0.012123110316286262,2.5403117799560664
