symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
ETHUSDT,1d,12,hi,331,73,0.005585997645861228,2.0169421356407544,2.3506061959957
ETHUSDT,1d,14,lo,331,77,0.0030228784987700445,0.9301542181582348,0.8249173548653729
ETHUSDT,1d,14,hi,331,72,0.004768016028058034,1.7021056568921404,1.9489105685428312
ETHUSDT,1d,16,lo,330,71,0.001049130072490369,0.33938315423126714,0.3360390981821493
ETHUSDT,1d,16,hi,330,75,0.004922658472849092,1.7401779118248917,1.9044063191329637
ETHUSDT,1d,18,lo,330,65,3.7957594684263024e-05,0.012365435092811756,0.01301286941914687
ETHUSDT,1d,18,hi,330,72,0.00451935324598007,1.5347598299530287,1.8989537880351912
ETHUSDT,1d,21,lo,330,59,0.0011666765804987727,0.37975693650848724,0.4369187011913943
ETHUSDT,1d,21,hi,330,65,0.005870513805408762,1.9913928434295372,2.8025838724813057
ETHUSDT,1d,25,lo,330,60,0.0012034628227349865,0.3940787002383197,0.5182366949937265
ETHUSDT,1d,25,hi,330,63,0.0034981268071215318,1.1746803717548877,1.5765811537256358
ETHUSDT,1d,30,lo,329,54,0.001070197213809391,0.34256652266249615,0.45581962084534183
ETHUSDT,1d,30,hi,329,50,0.0047568861938326965,1.6005038361675898,2.2703465491603354
ETHUSDT,4h,2,lo,1988,1063,-0.0004362240637190348,-0.868742285683521,-0.9304360707483403
ETHUSDT,4h,2,hi,1988,1022,0.0007380962245862572,1.8880454330169922,1.9133630667643702
ETHUSDT,4h,3,lo,1988,933,-0.0006760782443911646,-1.2351657721029947,-1.4229476253041042
ETHUSDT,4h,3,hi,1988,928,0.0008212726316308485,2.0785540894455234,2.15106161893323
ETHUSDT,4h,4,lo,1988,850,-0.0005164723103153419,-0.9166479485496433,-1.1013269722406778
ETHUSDT,4h,4,hi,1988,827,0.0008917687949838281,2.1700605861627116,2.2914284914539453
ETHUSDT,4h,5,lo,1988,752,-0.00038106698090887713,-0.6417633719614385,-0.7394429471102691
ETHUSDT,4h,5,hi,1988,740,0.0008443524700892593,2.067823725519444,2.207430966977347
ETHUSDT,4h,6,lo,1988,687,-0.0004850881149470596,-0.8133021456587949,-0.9783919816020501
ETHUSDT,4h,6,hi,1988,679,0.001087449909203317,2.5773043613694826,2.888727353331819
ETHUSDT,4h,7,lo,1988,655,-0.0005435887260405816,-0.9004004648473883,-1.0985083072059176
ETHUSDT,4h,7,hi,1988,624,0.0012032841960405857,2.844037928743147,3.241974954311373
ETHUSDT,4h,8,lo,1988,611,-0.0005140039259105978,-0.848335448612724,-1.041226909774407
ETHUSDT,4h,8,hi,1988,569,0.0012555914691328007,2.960440417378477,3.42589381300629
ETHUSDT,4h,9,lo,1987,560,-0.0006666153181957559,-1.0886132635650565,-1.390748110458282
