symbol,tf,window,mr_ret,mr_trades,mr_win,mr_expo,mom_ret,mom_trades,mom_win,mom_expo
ETHUSDT,4h,10,-13.32664034494312,566,0.05830388692579505,0.10296701641648677,27.275072670704493,1244,0.4670418006430868,0.5203072443395753
ETHUSDT,4h,12,-12.822169255361834,517,0.058027079303675046,0.10206335659420654,26.519519360710223,1104,0.47192028985507245,0.5200562277222752
ETHUSDT,4h,14,-12.321371585422984,498,0.0642570281124498,0.10221396656458658,25.236920054279366,1013,0.46791707798617965,0.519202771223455
ETHUSDT,4h,16,-11.376195916435302,476,0.06932773109243698,0.10221396656458658,24.29241224872562,959,0.4546402502606882,0.5179978914604146
ETHUSDT,4h,18,-11.153027218821034,440,0.09318181818181819,0.10286660976956674,23.307176939898678,899,0.4638487208008899,0.5169938249912144
ETHUSDT,4h,21,-10.118476661025017,415,0.09156626506024096,0.10402128620914705,22.353507141518737,837,0.45758661887694146,0.515437521963954
ETHUSDT,4h,25,-9.511266116512884,394,0.08883248730964467,0.10567799588332748,21.032412296243404,778,0.44601542416452444,0.5107686128821728
ETHUSDT,4h,30,-9.205612734488184,382,0.10471204188481675,0.10783673879210803,19.73736145429049,725,0.4386206896551724,0.5064511270646117
SOLUSDT,1w,2,-0.25048129951857245,9,0.0,0.04375,31.21912176233349,54,0.42592592592592593,0.490625
SOLUSDT,1w,3,-0.29415171873301116,7,0.0,0.059375,35.42623011279103,38,0.3684210526315789,0.490625
SOLUSDT,1w,4,-0.29015171873301115,5,0.0,0.053125,35.19426309894917,31,0.41935483870967744,0.465625
SOLUSDT,1w,5,-0.29015171873301115,5,0.0,0.053125,33.515774292181206,26,0.46153846153846156,0.446875
SOLUSDT,1w,6,-0.29015171873301115,5,0.0,0.053125,31.974505385996288,27,0.4444444444444444,0.44375
SOLUSDT,1w,7,-0.41525645759654783,6,0.0,0.059375,31.83435301727675,27,0.4074074074074074,0.440625
SOLUSDT,1w,8,-0.4141514852208572,6,0.0,0.065625,32.14992911081566,25,0.56,0.45
SOLUSDT,1w,9,-0.46434399087658584,5,0.0,0.0625,23.43107996940872,21,0.5238095238095238,0.459375
SOLUSDT,1w,10,-0.4099819614554234,6,0.0,0.059375,23.47180415717679,21,0.5714285714285714,0.4625
SOLUSDT,1w,12,-0.3137164692675726,5,0.0,0.05625,20.305037105407777,17,0.6470588235294118,0.453125
SOLUSDT,1w,14,-0.1057301947068503,3,0.3333333333333333,0.046875,56.5606773944492,14,0.6428571428571429,0.459375
SOLUSDT,1w,16,-0.1077301947068503,4,0.25,0.05,55.16043380355316,12,0.5833333333333334,0.471875
SOLUSDT,1w,18,-0.09786048968422245,2,0.5,0.05625,46.95201417569071,10,0.7,0.46875
SOLUSDT,1w,21,-0.3055362284550428,2,0.0,0.059375,47.07065676670606,10,0.6,0.465625
SOLUSDT,1w,25,-0.3075362284550428,3,0.0,0.0625,26.78675150355568,9,0.5555555555555556,0.459375
SOLUSDT,1w,30,-0.3397784613116367,5,0.0,0.075,14.481839056399412,7,0.5714285714285714,0.446875
SOLUSDT,1d,2,-4.560454776126709,111,0.0,0.09404388714733543,23.791959440496957,368,0.5353260869565217,0.49843260188087773
SOLUSDT,1d,3,-4.929638119380608,112,0.017857142857142856,0.09717868338557993,21.30810793146559,295,0.5050847457627119,0.5020152261531572
SOLUSDT,1d,4,-5.172602944103653,101,0.009900990099009901,0.0980743394536498,20.182899021515546,250,0.512,0.5006717420510524
SOLUSDT,1d,5,-4.629975921464457,91,0.02197802197802198,0.09717868338557993,21.34852107841423,212,0.5188679245283019,0.49888042991491266
SOLUSDT,1d,6,-4.635589401391245,88,0.011363636363636364,0.09852216748768473,21.544916509504628,187,0.5294117647058824,0.49843260188087773
SOLUSDT,1d,7,-4.290643437679674,84,0.011904761904761904,0.09852216748768473,20.46409849228607,170,0.5294117647058824,0.49888042991491266
SOLUSDT,1d,8,-4.1853413805330835,75,0.02666666666666667,0.10210479175996418,19.5160063299785,162,0.5617283950617284,0.4935064935064935
SOLUSDT,1d,9,-4.076287428486544,70,0.014285714285714285,0.10165696372592924,19.91565049130619,151,0.5165562913907285,0.49216300940438873
SOLUSDT,1d,10,-4.182939076200695,71,0.014084507042253521,0.10523958799820869,19.570291414305203,144,0.5208333333333334,0.490371697268249
