symbol,tf,window,side,n_events,n_spells,fwd,t_iid,t_cluster
BTCUSDT,1w,25,lo,43,1,0.006006778373504937,0.3963716752856334,4652965473273606.0
BTCUSDT,1w,25,hi,43,2,0.002790758482917497,0.17548657169911924,0.6872896339442739
BTCUSDT,1w,25,hi_bull,37,2,0.005518997484862089,0.30774081246339063,0.8640375509021074
BTCUSDT,1w,25,hi_bear,6,1,-0.014033382029074152,-0.4733602655606268,
BTCUSDT,1w,30,lo,42,2,0.019207114527615858,1.2278382263648833,2.9875085216016495
BTCUSDT,1w,30,hi,42,2,0.012790289455120481,0.7791238469366498,1.6853349008509473
BTCUSDT,1w,30,hi_bull,37,3,0.010331862716131351,0.5738112149119119,1.5349684671563033
BTCUSDT,1w,30,hi_bear,5,1,0.030982647323640044,0.7953653960426821,1.1162675115335744e+16
BTCUSDT,1d,2,lo,332,206,-9.492943041523286e-05,-0.05989024288128229,-0.057766059412893145
BTCUSDT,1d,2,hi,332,108,0.004166319790252393,1.7498710354136362,1.9068811420949263
BTCUSDT,1d,2,hi_bull,220,63,0.004870829522332049,1.766665856031698,1.81461162218969
BTCUSDT,1d,2,hi_bear,112,45,0.0027824613879530676,0.6126938679025645,0.7926972837424163
BTCUSDT,1d,3,lo,332,160,-0.0007428923923761038,-0.4805684013765999,-0.47030051323864047
BTCUSDT,1d,3,hi,332,95,0.0026719968635863537,1.1276622044713343,1.2501132530321344
BTCUSDT,1d,3,hi_bull,205,58,0.004673503763201082,1.6664733628989943,1.7423372765662253
BTCUSDT,1d,3,hi_bear,127,38,-0.0005587819901224599,-0.13218820291203004,-0.1959625096954131
BTCUSDT,1d,4,lo,332,121,6.315109539757998e-05,0.044527937678921777,0.040803760978886654
BTCUSDT,1d,4,hi,332,71,0.004268743356529825,1.7887975783579206,1.7803182024082327
BTCUSDT,1d,4,hi_bull,217,47,0.007067692135718558,2.55951741157472,2.6362211586065087
BTCUSDT,1d,4,hi_bear,115,25,-0.0010127512963741317,-0.22589634110847173,-0.30077230020045365
BTCUSDT,1d,5,lo,332,102,0.0009577841324647861,0.6405447570930746,0.6205515735000379
BTCUSDT,1d,5,hi,332,58,0.003910203591230817,1.6015717351398868,1.7387295995462455
BTCUSDT,1d,5,hi_bull,214,40,0.0059981397598856505,2.128809756628283,2.4815789998723083
BTCUSDT,1d,5,hi_bear,118,21,0.00012360748875510152,0.02694432567569906,0.03542323707997858
BTCUSDT,1d,6,lo,332,80,0.00031597423328205064,0.21618757890313106,0.2021133226211707
BTCUSDT,1d,6,hi,332,52,0.004593024625899542,1.9518411958582356,2.1988940788804907
BTCUSDT,1d,6,hi_bull,209,33,0.005314121425620248,1.899941137408936,2.140685860030216
BTCUSDT,1d,6,hi_bear,123,21,0.0033677463239350867,0.7966965797491591,1.0126547571374567
BTCUSDT,1d,7,lo,331,74,0.0015056057472049406,1.0684962391539592,0.9701137519891474
BTCUSDT,1d,7,hi,331,43,0.00661363096320513,2.883120492438394,3.1654877691683123
BTCUSDT,1d,7,hi_bull,208,25,0.007769961185997703,2.6939933827855427,2.882091868190607
BTCUSDT,1d,7,hi_bear,123,21,0.004658210749051836,1.2281801709161448,1.658974519653043
BTCUSDT,1d,8,lo,331,64,0.0010940433273390299,0.8452155309857788,0.7389543628730912
BTCUSDT,1d,8,hi,331,37,0.006538699407863253,2.8002489204681553,2.854488650743758
BTCUSDT,1d,8,hi_bull,203,20,0.008681003710601301,2.9225710629951487,3.0539496561308943
BTCUSDT,1d,8,hi_bear,128,18,0.0031411386777396326,0.8326106542092374,1.0412222515325265
BTCUSDT,1d,9,lo,331,55,0.0016035220085260857,1.311447994640999,1.2028160321875272
BTCUSDT,1d,9,hi,331,32,0.00477878924829991,2.038410121796973,2.4310101009076304
BTCUSDT,1d,9,hi_bull,203,19,0.0058644920592065535,1.9573415288723828,2.461670608049843
BTCUSDT,1d,9,hi_bear,128,14,0.0030569324466276533,0.8098681815628813,1.0485490530321004
BTCUSDT,1d,10,lo,331,50,0.0024138880747464754,1.92506308576377,1.7772505264072902
BTCUSDT,1d,10,hi,331,30,0.004496370968468146,1.9442389969013194,2.385823265669035
BTCUSDT,1d,10,hi_bull,202,18,0.004591702591619968,1.5285885279733724,1.938839011334887
BTCUSDT,1d,10,hi_bear,129,14,0.004347091992680023,1.1968291482307558,1.4245136738331057
BTCUSDT,1d,12,lo,330,42,0.0032644871309161134,2.596041568931118,2.493578023835338
BTCUSDT,1d,12,hi,330,28,0.005207836000001995,2.3094846655507304,2.8974994517391988
BTCUSDT,1d,12,hi_bull,199,16,0.004452738761934484,1.545562094260042,1.8964560769318286
BTCUSDT,1d,12,hi_bear,131,13,0.006354892109738139,1.7493243433859909,2.0709475803363655
BTCUSDT,1d,14,lo,330,38,0.0028093042547567937,2.132928109870506,1.9602292785787527
BTCUSDT,1d,14,hi,330,20,0.006231479478571909,2.8052206133870845,4.36127905215222
BTCUSDT,1d,14,hi_bull,213,12,0.006515254801628454,2.444317047200549,3.321008014814884
BTCUSDT,1d,14,hi_bear,117,9,0.005714862864802303,1.4362646335675515,2.7913424091392907
BTCUSDT,1d,16,lo,330,35,0.003625846542597227,2.666280634698808,2.150362476036343
BTCUSDT,1d,16,hi,330,17,0.004770784443985816,2.2117415030355954,3.0259677463306103
BTCUSDT,1d,16,hi_bull,226,12,0.004702252394842656,1.8892693120546356,2.1085461725530665
BTCUSDT,1d,16,hi_bear,104,8,0.004919709858469989,1.167706685862015,2.978070352883466
BTCUSDT,1d,18,lo,329,30,0.0031756536314694528,2.377546813734371,2.172110943082064
BTCUSDT,1d,18,hi,329,17,0.004480744058091676,2.0502975394919285,2.828458655649558
BTCUSDT,1d,18,hi_bull,226,12,0.0040704104507542395,1.6215513504985533,1.8141011027364076
BTCUSDT,1d,18,hi_bear,103,9,0.005381087701375758,1.2494783224795138,2.6183442644263026
BTCUSDT,1d,21,lo,329,27,0.0019344175976453073,1.3631585792135432,1.1519982825155985
BTCUSDT,1d,21,hi,329,17,0.0038865822689281636,1.7751590683062535,2.503937865105172
BTCUSDT,1d,21,hi_bull,238,11,0.00428901769663717,1.752239859269351,2.247710742198037
BTCUSDT,1d,21,hi_bear,91,7,0.002834058842612299,0.6058804386011843,1.3759161032527203
BTCUSDT,1d,25,lo,328,21,0.0012119153706249082,0.8502979144811025,0.8012596290763183
BTCUSDT,1d,25,hi,328,14,0.003044816766073551,1.3598465082434734,2.1693056289014327
BTCUSDT,1d,25,hi_bull,251,10,0.003424497999896754,1.345710939057914,2.206893212525366
BTCUSDT,1d,25,hi_bear,77,5,0.0018071545623122016,0.3816311114833412,0.6641923663019348
BTCUSDT,1d,30,lo,327,18,0.0009659658577209254,0.6854102797252156,0.5831660177242909
BTCUSDT,1d,30,hi,327,13,0.004530234069356162,1.954523991494125,2.4377375213484704
BTCUSDT,1d,30,hi_bull,252,9,0.004660877281709946,1.766755798014462,2.090500478698956
BTCUSDT,1d,30,hi_bear,75,5,0.00409127287584745,0.8374214477511949,2.3026778884277808
BTCUSDT,4h,2,lo,1992,1260,0.000502912578093014,1.6755362604269664,1.6675825883996833
BTCUSDT,4h,2,hi,1992,735,0.00034773696652248706,0.820767261665899,0.985737636000521
BTCUSDT,4h,2,hi_bull,1112,397,0.0003364147895418171,0.7464646077398113,0.8159964011457506
BTCUSDT,4h,2,hi_bear,880,344,0.0003620440810707882,0.46898393701536334,0.6108040613086462
BTCUSDT,4h,3,lo,1992,940,8.436491308530686e-05,0.278613032822784,0.27536649499306937
BTCUSDT,4h,3,hi,1992,609,0.0002782233165555466,0.631733386306065,0.7981942885834727
BTCUSDT,4h,3,hi_bull,1082,330,0.0006045932575564312,1.3021167567291132,1.429783503970379
BTCUSDT,4h,3,hi_bear,910,285,-0.00010983412977737333,-0.13894867909443703,-0.20252602836693412
BTCUSDT,4h,4,lo,1992,710,0.0001262285019620747,0.4439768180077921,0.42524089419379923
BTCUSDT,4h,4,hi,1992,462,0.0005559193151349496,1.2259989572860863,1.643021204797338
BTCUSDT,4h,4,hi_bull,1046,245,0.0006870137953522002,1.429004337935562,1.5747798140707086
BTCUSDT,4h,4,hi_bear,946,227,0.00041096706745287313,0.5179640294874887,0.7948430828367814
BTCUSDT,4h,5,lo,1991,582,0.00033802221186624595,1.2083808260463011,1.1474993132707245
BTCUSDT,4h,5,hi,1991,362,0.0008864205332127598,1.9510156763204902,2.664971525995472
BTCUSDT,4h,5,hi_bull,1047,193,0.0010329294135704968,2.142772379913133,2.5132312265015364
BTCUSDT,4h,5,hi_bear,944,184,0.0007239260440871765,0.9100269011859057,1.3751647664441706
BTCUSDT,4h,6,lo,1991,480,0.00051629507946218,1.819724713572254,1.7491336618779385
BTCUSDT,4h,6,hi,1991,300,0.000807137712360129,1.784626394666161,2.2911412886708113
BTCUSDT,4h,6,hi_bull,1039,160,0.001032852765800237,2.1653452532033177,2.6070373977269585
BTCUSDT,4h,6,hi_bear,952,153,0.0005607953378598431,0.7099121737908447,0.9445522062056393
BTCUSDT,4h,7,lo,1991,415,0.0002453661435442365,0.8905953844637124,0.873562420535583
BTCUSDT,4h,7,hi,1991,250,0.0008269673905320421,1.8210641213537726,2.1913789415453206
BTCUSDT,4h,7,hi_bull,1024,131,0.0013893198509325904,2.8693833587268878,3.7201681553834836
BTCUSDT,4h,7,hi_bear,967,131,0.0002314669567676561,0.2961067381821616,0.37051052501945275
BTCUSDT,4h,8,lo,1991,355,0.0003307213138830332,1.210716829891528,1.168145126632413
BTCUSDT,4h,8,hi,1991,221,0.0007791411539163906,1.6923257042706594,2.0687307079215302
BTCUSDT,4h,8,hi_bull,1033,109,0.001169874796951537,2.3674771155327448,3.06338787304855
BTCUSDT,4h,8,hi_bear,958,123,0.00035781771628037135,0.45018426332713374,0.5602316574752453
BTCUSDT,4h,9,lo,1991,332,0.0002291350647235163,0.869944407831601,0.8217958847845873
BTCUSDT,4h,9,hi,1991,193,0.0007488368591998803,1.6303411338753369,2.0378630718701842
BTCUSDT,4h,9,hi_bull,1048,97,0.0012218691571803482,2.498389925909777,2.9462560551992576
BTCUSDT,4h,9,hi_bear,943,105,0.00022313394479528845,0.2778392898205921,0.37492133725281274
BTCUSDT,4h,10,lo,1990,301,0.00026285059442575983,1.010069443382516,0.9530309174161358
BTCUSDT,4h,10,hi,1990,169,0.000568970002980411,1.1973421404234685,1.3895528599366556
