symbol,tf,window,kind,filt,n,fwd,t
BTCUSDT,1d,2,bull,adx_gt_med,56,-0.0035055955056303234,-0.871924924307956
BTCUSDT,1d,2,bear,all,421,-0.0010736561712242094,-0.7205672759541023
BTCUSDT,1d,2,bear,fixed20,420,-0.0010142073203483395,-0.6795915320399116
BTCUSDT,1d,2,bear,adx_gt_med,74,-0.0018100866154087216,-0.536463966778118
BTCUSDT,1d,3,bull,all,325,-0.0009288283107607224,-0.5488922259652249
BTCUSDT,1d,3,bull,fixed20,314,-0.0011704400554332296,-0.6808939731791543
BTCUSDT,1d,3,bull,adx_gt_med,47,0.0030032606471715522,0.6247710683849835
BTCUSDT,1d,3,bear,all,324,-0.0015982197074319799,-0.9585325933756275
BTCUSDT,1d,3,bear,fixed20,316,-0.0014792265026743155,-0.8697904007341335
BTCUSDT,1d,3,bear,adx_gt_med,56,0.004879330469348601,1.2750684577734046
BTCUSDT,1d,4,bull,all,266,-0.0011596999237839703,-0.6632829079037242
BTCUSDT,1d,4,bull,fixed20,250,-0.0014740691253923406,-0.8087076037310109
BTCUSDT,1d,4,bull,adx_gt_med,45,0.004173137952999966,0.9148713266045143
BTCUSDT,1d,4,bear,all,265,-0.0026839195534710076,-1.3860660513390883
BTCUSDT,1d,4,bear,fixed20,256,-0.002372249202680847,-1.1911987914314133
BTCUSDT,1d,4,bear,adx_gt_med,47,-0.0013152676571059306,-0.29751696009321704
BTCUSDT,1d,5,bull,all,229,-0.000973714806017709,-0.5108379316960178
BTCUSDT,1d,5,bull,fixed20,208,-0.001214835188674671,-0.5968293343058924
BTCUSDT,1d,5,bull,adx_gt_med,34,0.0029055904905847564,0.47336747814911
BTCUSDT,1d,5,bear,all,228,-0.0011306170394359545,-0.49484845559907714
BTCUSDT,1d,5,bear,fixed20,208,-0.0008146049542386318,-0.3318332464587908
BTCUSDT,1d,5,bear,adx_gt_med,42,-0.0034561859184511303,-0.6842984172168529
BTCUSDT,1d,6,bull,all,194,0.0023038211179506897,1.1947884489988005
BTCUSDT,1d,6,bull,fixed20,165,0.002208191466625088,1.0308823106570844
BTCUSDT,1d,6,bull,adx_gt_med,31,0.0084430435693013,1.3987583422590677
BTCUSDT,1d,6,bear,all,193,-0.0007557152652297226,-0.31493963943926967
BTCUSDT,1d,6,bear,fixed20,172,-0.00037787897869599773,-0.1475053515739643
BTCUSDT,1d,6,bear,adx_gt_med,33,-0.005294256626155666,-0.9159824416078045
BTCUSDT,1d,7,bull,all,167,0.002537712595583854,1.1910333218385492
BTCUSDT,1d,7,bull,fixed20,137,0.0025710458908852025,1.0201694128218113
BTCUSDT,1d,7,bull,adx_gt_med,29,0.006520904746548367,0.9763485370356346
BTCUSDT,1d,7,bear,all,166,-0.004559216053801098,-1.7115304758093388
BTCUSDT,1d,7,bear,fixed20,137,-0.005103755707689894,-1.7310442381241475
BTCUSDT,1d,7,bear,adx_gt_med,32,-0.003740881967829974,-0.6497100393813756
BTCUSDT,1d,8,bull,all,154,0.002145520641466346,0.9418259163774095
BTCUSDT,1d,8,bull,fixed20,121,0.002907038026978004,1.0503454485523813
BTCUSDT,1d,8,bull,adx_gt_med,26,0.0028559665731724285,0.40911029425905915
BTCUSDT,1d,8,bear,all,153,-0.008101122915400948,-2.8330597772053143
BTCUSDT,1d,8,bear,fixed20,123,-0.008184179029405535,-2.4999281809553753
BTCUSDT,1d,8,bear,adx_gt_med,28,0.0013338299028266395,0.24021885747206043
BTCUSDT,1d,9,bull,all,142,0.0025277641876520554,1.0814228524908114
BTCUSDT,1d,9,bull,fixed20,100,0.0027371891154972707,0.8940674173877176
BTCUSDT,1d,9,bull,adx_gt_med,22,0.0064638296178452515,0.9515239527622305
BTCUSDT,1d,9,bear,all,141,-0.005124768834857976,-1.7928766943319916
BTCUSDT,1d,9,bear,fixed20,105,-0.004423080422730925,-1.282671217218669
