symbol,tf,window,rule,ret_net,trades,win,expo,ret_gross,bh
BTCUSDT,4h,16,dom,13.735000166534672,649,0.44992295839753466,0.4815502786284452,15.033000166534675,18.740525840289287
BTCUSDT,4h,16,dom_adx_med,5.781568777239599,290,0.44482758620689655,0.2342989105878809,6.361568777239587,18.740525840289287
BTCUSDT,4h,16,dom_adx_p90,1.802174973408522,57,0.5263157894736842,0.05366735277875395,1.9161749734085216,18.740525840289287
BTCUSDT,4h,18,dom,13.155462193787768,611,0.4369885433715221,0.47773482604548423,14.377462193787782,18.740525840289287
BTCUSDT,4h,18,dom_adx_med,5.638058004202,275,0.4254545454545455,0.23244138761986044,6.188058004201983,18.740525840289287
BTCUSDT,4h,18,dom_adx_p90,1.7667916232808856,49,0.6122448979591837,0.0519102364576535,1.8647916232808854,18.740525840289287
BTCUSDT,4h,21,dom,12.34616566332049,567,0.42504409171075835,0.4733169335810031,13.480165663320493,18.740525840289287
BTCUSDT,4h,21,dom_adx_med,4.871036027882156,254,0.42913385826771655,0.23224057432602038,5.379036027882151,18.740525840289287
BTCUSDT,4h,21,dom_adx_p90,1.6620950310158304,47,0.5957446808510638,0.05060495004769316,1.75609503101583,18.740525840289287
BTCUSDT,4h,25,dom,11.829156905728105,523,0.42829827915869984,0.46744314473618154,12.875156905728113,18.740525840289287
BTCUSDT,4h,25,dom_adx_med,5.017211715683371,220,0.45454545454545453,0.2311361012099001,5.457211715683361,18.740525840289287
BTCUSDT,4h,25,dom_adx_p90,1.2190419904889647,43,0.5116279069767442,0.04849641046237261,1.3050419904889639,18.740525840289287
BTCUSDT,4h,30,dom,11.308707934756239,471,0.3991507430997877,0.4604648827752397,12.250707934756232,18.740525840289287
BTCUSDT,4h,30,dom_adx_med,4.554620450154708,192,0.3802083333333333,0.22742105527385914,4.938620450154703,18.740525840289287
BTCUSDT,4h,30,dom_adx_p90,1.099917133940075,39,0.6153846153846154,0.04849641046237261,1.1779171339400754,18.740525840289287
ETHUSDT,1w,2,dom,15.80250493244267,44,0.6363636363636364,0.5147058823529411,15.89050493244267,8.134603811434301
ETHUSDT,1w,2,dom_adx_med,1.4304808645002378,18,0.6111111111111112,0.11764705882352941,1.4664808645002378,8.134603811434301
ETHUSDT,1w,2,dom_adx_p90,0.05544749978079344,3,0.3333333333333333,0.01050420168067227,0.061447499780793446,8.134603811434301
ETHUSDT,1w,3,dom,15.161835265742324,38,0.6052631578947368,0.5021008403361344,15.237835265742332,8.134603811434301
ETHUSDT,1w,3,dom_adx_med,0.8623293385500763,15,0.6666666666666666,0.13655462184873948,0.8923293385500763,8.134603811434301
ETHUSDT,1w,3,dom_adx_p90,-0.004,2,0.0,0.004201680672268907,0.0,8.134603811434301
ETHUSDT,1w,4,dom,11.974103580140197,30,0.7333333333333333,0.5,12.034103580140197,8.134603811434301
ETHUSDT,1w,4,dom_adx_med,0.5797623873209156,12,0.6666666666666666,0.13025210084033614,0.6037623873209156,8.134603811434301
ETHUSDT,1w,4,dom_adx_p90,-0.038640176523733416,2,0.0,0.0063025210084033615,-0.03464017652373341,8.134603811434301
ETHUSDT,1w,5,dom,14.22248805501656,29,0.6551724137931034,0.49789915966386555,14.280488055016562,8.134603811434301
ETHUSDT,1w,5,dom_adx_med,0.17181170992781936,12,0.4166666666666667,0.12815126050420167,0.19581170992781938,8.134603811434301
ETHUSDT,1w,5,dom_adx_p90,0.03023034747653952,1,1.0,0.0063025210084033615,0.03223034747653952,8.134603811434301
ETHUSDT,1w,6,dom,14.092067469534042,23,0.6086956521739131,0.4894957983193277,14.138067469534038,8.134603811434301
ETHUSDT,1w,6,dom_adx_med,0.6460752034544233,8,0.5,0.12605042016806722,0.6620752034544233,8.134603811434301
